method,fid,avg_ssim,avg_lpips,avg_psnr,avg_time_sec,speedup_vs_baseline50,clipscore
rebuttal/Flux/baseline/25steps,63.410059638772736,0.774168834422917,0.21743855068460108,18.609889255216945,19.57848356933594,1.9530600556,0.27437744140625
results/Magcache/E0.08K4R0.12,53.671851848530025,0.8149068424911536,0.17392284092260524,20.960977395114284,17.720402,2.1578491396,0.275653076171875
results/Magcache/E0.08K5R0.12,53.94746374249951,0.8138694753279845,0.17554055499611423,20.936987728160684,17.126643,2.2326590336,0.2758380126953125
results/Magcache/E0.08K6R0.12,53.94746374249951,0.8138694753279845,0.17554055499611423,20.936987728160684,16.590959,2.3047464712,0.2758380126953125
results/Magcache/E0.12K4R0.12,54.52713144699487,0.8087046856673195,0.1776869343034923,20.836769680419092,15.658007,2.4420703228,0.2758807373046875
results/Magcache/E0.12K5R0.12,55.198576050852125,0.8101124034908994,0.178464692303678,20.841252378303025,15.432628,2.4777344603,0.2761053466796875
results/Magcache/E0.12K6R0.12,55.72828611362581,0.8071039847554476,0.18058524236897938,20.81448569956384,14.473687,2.6418945089,0.2759478759765625
results/Magcache/E0.18K4R0.12,55.85775390606261,0.808089696673871,0.1806640592624899,20.74679597236749,14.992376,2.5504932780,0.2762506103515625
results/Magcache/E0.18K5R0.12,56.599740573320446,0.8055564520362418,0.18258624875335955,20.730440573235054,13.582918,2.8151501915,0.2761163330078125
results/Magcache/E0.18K6R0.12,56.817927516193606,0.8066862214431825,0.18399229801143518,20.730297217831502,13.669977,2.7972215468,0.2759307861328125
results/Magcache/E0.24K4R0.12,56.82352157490374,0.7983110167842117,0.18927216209005565,20.44036800120154,13.193489,2.8982442938,0.2758514404296875
results/Magcache/E0.24K5R0.12,56.810045470523505,0.792897015465467,0.19368272740393877,20.396018053583568,12.232393,3.1259586092,0.27543426513671876
results/Magcache/E0.24K6R0.12,57.659586772865055,0.7970142154276543,0.19227273175725712,20.435482900525614,11.98981,3.1892043501,0.27531280517578127
results/Magcache/E0.3K4R0.12,56.82352157490374,0.7983110167842117,0.18927216209005565,20.44036800120154,13.288621,2.8774960328,0.2758514404296875
results/Magcache/E0.3K5R0.12,57.09998373855126,0.7960926262883059,0.19285396934952587,20.419642610437332,11.974359,3.1933195095,0.2757391357421875
results/Magcache/E0.3K6R0.12,57.811570374611506,0.79675307509675,0.19399936121189967,20.424430412065803,12.072137,3.1674552906,0.27555419921875
results/Magcache/E0.4K4R0.12,58.38201374247075,0.7923656545595729,0.19561800791532732,20.291489059826656,13.155193,2.9066813546,0.2765386962890625
results/Magcache/E0.4K5R0.12,58.935371446195404,0.7922911663185244,0.19684863318223506,20.303443894252837,11.929796,3.2052479530,0.2765768432617188
results/Magcache/E0.4K6R0.12,59.354971914705686,0.7932373912622248,0.19783654889441096,20.307212923229514,12.05751,3.1712977397,0.2765509033203125
results/Magcache/E0.5K4R0.12,58.45497837602596,0.7889994719060727,0.2001747414493002,20.119940501230413,13.087923,2.9216212694,0.2767141723632813
results/Magcache/E0.5K5R0.12,59.93094154780158,0.7846975720557413,0.2063798416382633,20.094209804824324,11.128053,3.4361765000,0.27670440673828123
results/Magcache/E0.5K6R0.12,59.985006693457365,0.782104221376965,0.208196633271873,20.086291725950566,10.232484,3.7369180552,0.276204833984375
results/Taylorseer/n2o1,16.271559209266,0.9423919309470205,0.04143263659701915,29.731142206166602,23.44544276367188,1.6309333372,0.276639404296875
results/Taylorseer/n3o1,27.591903837822258,0.8941143379478733,0.07788464147713967,25.500688320653982,18.570946000976573,2.0590202678,0.2772808837890625
results/Taylorseer/n4o1,36.54321679886277,0.8666856421812491,0.10683685618918388,23.57161053867233,15.983052495117194,2.3924062203,0.2771240234375
results/Taylorseer/n5o1,43.37063726866961,0.829982012643359,0.13550668625161053,22.122952459341782,13.16194541992186,2.9051901515,0.2767529296875
results/Taylorseer/n6o1,48.52149781440045,0.8184323889187521,0.153586478526704,21.30185228840253,12.422407758789069,3.0781435412,0.2773919677734375
results/Teacache/r0.1,71.96440740967711,0.7423956331371719,0.25364855386316776,17.71988123670969,43.084635,0.8875079064,0.2751470947265625
results/Teacache/r0.3,74.74559494140789,0.7272014016761179,0.27208418655209243,17.18682199540677,22.636009,1.6892533577,0.2743505859375
results/Teacache/r0.5,79.75219183351948,0.7053930855459831,0.298376177046448,16.515685889473616,15.997771,2.3902051235,0.2748358154296875
results/Teacache/r0.7,88.68027483224716,0.6824554287993547,0.3273527012113482,15.891981578400095,12.516459,3.0550137390,0.2760711669921875
results/Teacache/r0.9,93.1218469898102,0.6646915634452267,0.3538101802393794,15.428984109855847,10.496805,3.6428183823,0.278533935546875
results/dmd_gate_sweep/50steps/H2_S1_G0.10,11.749109115647286,0.9569208280668644,0.029908214517927263,32.056230936469966,24.474376406249995,1.5623668434,0.2758282470703125
results/dmd_gate_sweep/50steps/H2_S1_G0.20,19.78228414061209,0.9279921830654146,0.053871427102712914,28.382748278286115,21.93962549804688,1.7428717829,0.276109619140625
results/dmd_gate_sweep/50steps/H2_S1_G0.3,20.58258735574509,0.9248537550096353,0.05632680828915909,28.12318071213484,21.100093330078124,1.8122173021,0.2763494873046875
results/dmd_gate_sweep/50steps/H2_S1_G0.4,20.72591148116453,0.9245743224318627,0.05662055120104924,28.112445822969335,20.702404697265624,1.8470295972,0.2762347412109375
results/dmd_gate_sweep/50steps/H2_S1_G0.5,20.72591148116453,0.9245743224318627,0.05662055120104924,28.112445822969335,21.074202792968748,1.8144436867,0.2762347412109375
results/dmd_gate_sweep/50steps/H2_S2_G0.10,20.354060519058862,0.9321837052029471,0.05121190474863397,28.864670472109072,20.23001532714845,1.8901594285,0.27578857421875
results/dmd_gate_sweep/50steps/H2_S2_G0.20,30.095117155278672,0.8936742843390405,0.08554469121736474,25.71960132634654,16.85409812499999,2.2687629991,0.276121826171875
results/dmd_gate_sweep/50steps/H2_S2_G0.3,31.300524063482897,0.8875394898183273,0.09048550067702309,25.386237478576515,15.86434963378907,2.4103070779,0.276607666015625
results/dmd_gate_sweep/50steps/H2_S2_G0.4,31.346027946330082,0.8834692777227033,0.09297598364995792,25.34012738191946,15.62986884765626,2.4464667350,0.2764190673828125
results/dmd_gate_sweep/50steps/H2_S2_G0.5,31.346027946330082,0.8834692777227033,0.09297598364995792,25.34012738191946,15.16985385742187,2.5206540925,0.2764190673828125
results/dmd_gate_sweep/50steps/H2_S3_G0.10,26.208501344356307,0.9126602802360702,0.06838318244321272,27.294513416800356,17.98435725585939,2.1261785264,0.2756048583984375
results/dmd_gate_sweep/50steps/H2_S3_G0.20,37.839128814125274,0.8651751248768614,0.11255037759896368,24.211691296849768,13.887455712890617,2.7534168245,0.2759808349609375
results/dmd_gate_sweep/50steps/H2_S3_G0.3,39.8371131460803,0.8592385795896224,0.11939881710335612,23.994594647638277,12.753590546875003,2.9982109013,0.27552215576171873
results/dmd_gate_sweep/50steps/H2_S3_G0.4,39.84527247573817,0.8594720211127514,0.11940869510173797,23.980455630997948,12.716506713867187,3.0069542736,0.2754275512695312
results/dmd_gate_sweep/50steps/H2_S3_G0.5,39.87778365781725,0.8594360104226111,0.11947404149919748,23.980596673067577,12.63330807128906,3.0267570452,0.27543121337890625
results/dmd_gate_sweep/50steps/H2_S4_G0.10,32.06621952583629,0.8924061502005368,0.08861879385774955,26.04382181923058,16.099780791015636,2.3750605493,0.2752764892578125
results/dmd_gate_sweep/50steps/H2_S4_G0.20,43.679542610959345,0.848459645668726,0.13206504101399333,23.393806718427133,12.439675092773436,3.0738708145,0.2756927490234375
results/dmd_gate_sweep/50steps/H2_S4_G0.3,45.61203912666252,0.8323337080176575,0.14715399580542,23.024883648327986,10.902058266601573,3.5074068835,0.27545166015625
results/dmd_gate_sweep/50steps/H2_S4_G0.4,46.15692054923369,0.827549873865542,0.15200867888052016,22.949946611306817,10.593477988281249,3.6095750849,0.275765380859375
results/dmd_gate_sweep/50steps/H2_S4_G0.5,46.19056613803667,0.8273269761286951,0.15225629963446408,22.9448456213164,10.407585947265627,3.6740464506,0.275716552734375
results/dmd_gate_sweep/50steps/H2_S5_G0.10,37.33653954012982,0.876345352083156,0.10553051239578054,25.25434957727568,15.099932226562496,2.5323262141,0.2743206787109375
results/dmd_gate_sweep/50steps/H2_S5_G0.20,51.13785726394099,0.8233383220130739,0.15867262551560998,22.609415519447953,11.851520087890622,3.2264177022,0.2752044677734375
results/dmd_gate_sweep/50steps/H2_S5_G0.3,52.420419134871054,0.8284552149723641,0.15658233992755413,22.54576650763779,11.11279071777343,3.4408957372,0.274505615234375
results/dmd_gate_sweep/50steps/H2_S5_G0.4,52.888477007838446,0.8262704111921993,0.1591724876873195,22.52875845227996,10.424476323242196,3.6680935352,0.275006103515625
results/dmd_gate_sweep/50steps/H2_S5_G0.5,53.26829149534035,0.8218481604601269,0.16416833428665994,22.504295508903212,10.032421833496095,3.8114380399,0.27553253173828124
